cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
16.0,4557.200278,3.0
33.0,8173.286770999999,4.0
24.0,8201.267802537923,3.0
22.0,8497.339534,2.0
28.0,10097.353151000001,3.0
22.0,10104.528883,2.0
15.0,11670.866189504679,1.0
22.0,24490.833475,2.0
15.0,24922.560338,1.0
27.0,32108.691970999997,2.0
15.0,32118.616121999996,1.0
17.0,41858.397611,2.0
15.0,43974.250297,1.0
21.0,47967.380732,2.0
15.0,48727.13936,1.0
17.0,61835.327976,2.0
20.0,64765.905015,3.0
5.0,65157.78467458009,2.0
8.0,81885.077125,3.0
5.0,83439.145924,2.0
20.0,84939.980839,3.0
5.0,84974.771675,2.0
8.0,95517.66192,3.0
28.0,95838.474605,4.0
12.0,95853.13963218345,3.0
9.0,96993.351117,2.0
33.0,100351.957049,3.0
36.0,129215.42684300001,4.0
33.0,129796.185635,3.0
35.0,148815.087216,4.0
33.0,150006.86976700003,3.0
37.0,151907.230507,4.0
33.0,151923.02088,3.0
9.0,173925.740212,2.0
13.0,178365.247238,3.0
23.0,181012.34369,4.0
18.0,181089.5645002369,3.0
16.0,185816.60065,2.0
21.0,186095.052545,3.0
16.0,186135.246435,2.0
9.0,197248.88829455586,1.0
12.0,218987.375519,2.0
15.0,221162.888344,3.0
12.0,222070.39629200002,2.0
9.0,226146.934168,1.0
34.0,230305.32452199998,2.0
58.0,237560.24503899997,3.0
33.0,239572.799049,2.0
37.0,249816.01005799999,3.0
33.0,264075.836778,2.0
37.0,278799.545185,3.0
33.0,279093.655235,2.0
37.0,295855.854139,3.0
33.0,302008.050275,2.0
36.0,311060.113114,3.0
33.0,311096.248358,2.0
24.0,333830.7352199636,1.0
33.0,344422.08899099997,2.0
37.0,348190.32976500003,3.0
33.0,349022.87519465206,2.0
55.0,356715.464288,3.0
104.0,386598.377942,4.0
124.0,389033.640244,5.0
126.0,392892.25996399997,6.0
124.0,393552.836594,5.0
104.0,397823.689111,4.0
80.0,399891.774247,3.0
92.0,410910.40978499997,4.0
96.0,423895.913052,5.0
92.0,424991.5579132097,4.0
116.0,428985.51196,5.0
92.0,428990.52400399995,4.0
99.0,435202.75090200006,5.0
105.0,436647.91018199996,6.0
102.0,436731.0545012305,5.0
92.0,438498.5383620683,4.0
110.0,444467.81678900006,5.0
92.0,445125.36093900003,4.0
95.0,448485.481804,5.0
131.0,468213.172405,6.0
134.0,468325.060212,7.0
132.0,468331.05193799996,6.0
105.0,486487.188832,5.0
116.0,496787.551474,6.0
118.0,497029.682463,7.0
116.0,498068.14755999995,6.0
114.0,499360.026622,5.0
123.0,502168.10692600004,6.0
135.0,503455.497975,7.0
132.0,503463.78543,6.0
134.0,506262.21471499995,7.0
132.0,506335.51599436655,6.0
146.0,517867.57099,7.0
141.0,519612.1791306743,6.0
87.0,520910.7760351607,5.0
89.0,530265.412517,6.0
102.0,530867.344187,7.0
89.0,531089.707462,6.0
101.0,531589.582124,7.0
99.0,546570.4940022369,6.0
101.0,546788.926654,7.0
99.0,547426.3345229999,6.0
113.0,551608.9814180001,7.0
99.0,551663.5349740001,6.0
108.0,559261.260935,7.0
94.0,561956.580648,6.0
97.0,575221.572531,7.0
94.0,578148.458682,6.0
82.0,578522.0521399999,5.0
84.0,582686.01914,6.0
82.0,582716.4955433703,5.0
111.0,583480.466156,6.0
82.0,583499.469822,5.0
84.0,609585.361373,6.0
90.0,615822.044928,7.0
103.0,624381.068125,8.0
115.0,649696.776466,9.0
110.0,649744.478005966,8.0
119.0,662270.6038,9.0
121.0,663519.938949,10.0
119.0,663850.410394,9.0
136.0,666619.230917,10.0
123.0,679109.7079462871,9.0
79.0,680762.0669258973,8.0
81.0,688543.973412,9.0
79.0,688701.278177,8.0
82.0,694373.86635,9.0
79.0,694378.514493,8.0
82.0,707601.724555,9.0
79.0,707621.72304,8.0
81.0,711025.223122,9.0
94.0,731316.0958680001,10.0
81.0,731361.19804,9.0
109.0,734731.016167,10.0
140.0,755630.569089,11.0
132.0,758789.1676439999,10.0
135.0,761496.647187,11.0
126.0,764706.815131,10.0
95.0,772362.956836,9.0
117.0,772803.1008649999,10.0
96.0,772817.997929,9.0
113.0,784322.663448,10.0
97.0,784478.273364,9.0
92.0,797686.3222692246,8.0
108.0,799753.805341,9.0
139.0,801528.272292,10.0
107.0,807607.1010510793,9.0
123.0,809134.798499,10.0
109.0,821601.0906877501,9.0
96.0,835591.6084316603,8.0
110.0,847350.517598,9.0
153.0,854328.219573,10.0
188.0,856685.2948220001,11.0
130.0,862037.4714486805,10.0
124.0,867582.9662262767,9.0
143.0,883731.988164,10.0
147.0,888851.32972,11.0
137.0,890336.2446176365,10.0
141.0,894496.695292,11.0
144.0,902564.508384,12.0
141.0,903064.596732,11.0
144.0,925198.407553,12.0
157.0,933322.495019,13.0
153.0,933573.584453,12.0
156.0,934334.3014079999,13.0
162.0,934457.1312909999,14.0
174.0,934513.768815,15.0
161.0,934547.788729273,14.0
171.0,938052.600808,15.0
184.0,949324.356568,16.0
173.0,949333.7653475214,15.0
168.0,951386.0211562967,14.0
196.0,952577.33371,15.0
168.0,952580.727403,14.0
189.0,961523.781542,15.0
168.0,961934.973698,14.0
171.0,965083.8521489999,15.0
204.0,965889.317573,16.0
175.0,965939.106349,15.0
168.0,974011.442398663,14.0
173.0,979239.193437,15.0
168.0,979245.7873150001,14.0
170.0,987907.418525,15.0
168.0,987985.947573,14.0
185.0,1005802.799475,15.0
211.0,1008941.004636,16.0
202.0,1012227.1379355827,15.0
218.0,1013377.219485,16.0
202.0,1013545.5048445942,15.0
214.0,1015430.394258,16.0
217.0,1027478.531266,17.0
214.0,1027483.007888,16.0
216.0,1040121.739665,17.0
214.0,1040136.855304,16.0
216.0,1040228.541375,17.0
214.0,1042852.4329070001,16.0
216.0,1053702.583427,17.0
214.0,1057324.2460984574,16.0
219.0,1065706.41027,17.0
222.0,1066416.903647,18.0
217.0,1068641.568193,17.0
229.0,1073252.955941,18.0
243.0,1077489.9927790002,19.0
256.0,1077495.5514966333,19.0
256.0,1077497.282051664,19.0
222.0,1077502.8346695008,18.0
249.0,1078023.393368,19.0
251.0,1085529.219559,20.0
249.0,1085567.4729512634,19.0
234.0,1086216.130022,18.0
241.0,1097734.531175,19.0
256.0,1103748.5937211914,21.0
256.0,1112258.0758763654,22.0
249.0,1117256.8494583655,21.0
256.0,1122945.746665,22.0
249.0,1123145.3197868182,21.0
252.0,1127122.5927581913,21.0
256.0,1142182.141715084,23.0
253.0,1142207.237884,22.0
223.0,1142325.902165084,21.0
256.0,1143850.292751,22.0
256.0,1143938.6781455302,22.0
256.0,1143978.0926660444,22.0
256.0,1143997.030657492,22.0
250.0,1144020.1742700452,21.0
235.0,1144075.4084581058,20.0
231.0,1144984.500793,19.0
224.0,1170364.5503098506,18.0
232.0,1175104.128423,19.0
227.0,1175604.916439,18.0
232.0,1176044.656586,19.0
255.0,1187640.493564,20.0
242.0,1187932.3053509998,19.0
256.0,1214893.756866,20.0
246.0,1220965.047639,19.0
256.0,1222768.604161,20.0
249.0,1222971.8375280001,19.0
256.0,1223228.304687,20.0
254.0,1235983.5833520002,19.0
256.0,1235986.074905441,23.0
256.0,1236070.0713138932,23.0
256.0,1236102.920397076,23.0
256.0,1236118.6206142947,23.0
246.0,1236137.813690076,22.0
235.0,1236206.3331122675,21.0
232.0,1236214.708480441,20.0
256.0,1239175.27245,21.0
256.0,1239195.1791152,21.0
256.0,1239204.7670715388,21.0
216.0,1239217.2199926276,20.0
256.0,1242982.754515,21.0
256.0,1242985.06060223,21.0
246.0,1242991.0964606202,20.0
244.0,1243246.4557440002,19.0
256.0,1248280.398273,20.0
246.0,1250641.3240227886,19.0
256.0,1254864.310802,20.0
251.0,1259955.0380910002,19.0
256.0,1280238.1880630637,21.0
254.0,1281257.103647,20.0
256.0,1295727.3799090812,22.0
256.0,1295745.8580438488,22.0
253.0,1295769.2233654798,21.0
244.0,1325357.340515,20.0
256.0,1325358.3447780355,22.0
256.0,1326308.384543211,22.0
256.0,1326712.599977327,22.0
256.0,1327195.105907927,22.0
237.0,1331535.2949966404,21.0
224.0,1335450.4157,20.0
215.0,1337496.6994850356,19.0
256.0,1340003.611469,20.0
256.0,1345825.712315,21.0
256.0,1347874.3575980216,21.0
251.0,1347848.8296869998,20.0
243.0,1352429.8659060001,19.0
256.0,1353489.2878780002,20.0
244.0,1353935.8861412262,19.0
256.0,1396318.381705633,22.0
256.0,1401915.0251742601,22.0
244.0,1407213.5070647055,21.0
256.0,1408596.67598525,21.0
256.0,1408606.32187565,21.0
256.0,1408611.306413876,21.0
256.0,1408614.402240922,21.0
256.0,1408624.5645243071,21.0
231.0,1408700.9126793072,20.0
256.0,1412127.776883,21.0
242.0,1422034.4157778414,20.0
256.0,1430645.041057,21.0
256.0,1431146.3982811063,21.0
256.0,1431492.4462597063,21.0
249.0,1431886.6631836952,20.0
256.0,1437301.2785592289,22.0
253.0,1437321.920194,21.0
256.0,1448292.3578342288,22.0
244.0,1448458.7619949998,21.0
256.0,1452390.524744,22.0
256.0,1485089.7136706028,22.0
256.0,1493582.0921364785,24.0
256.0,1493599.0498061785,24.0
256.0,1493606.6510916345,24.0
256.0,1493610.590338231,24.0
256.0,1493612.685206942,24.0
249.0,1493615.9617393163,23.0
246.0,1493632.2939904786,22.0
242.0,1497511.2733392287,21.0
256.0,1510411.344612,22.0
244.0,1510496.043764,21.0
256.0,1522954.0799803813,23.0
256.0,1525370.6367070146,23.0
256.0,1522967.5420431814,23.0
238.0,1522987.7351373814,22.0
256.0,1523008.9814769998,22.0
256.0,1524376.9587561998,22.0
256.0,1525197.7451237198,22.0
231.0,1526428.924675,21.0
256.0,1530426.7607790001,22.0
256.0,1549136.3812984976,22.0
254.0,1536024.563521,21.0
256.0,1550931.241911,22.0
256.0,1551167.0464214506,22.0
250.0,1552207.6684494785,21.0
252.0,1553591.2232910001,20.0
226.0,1554129.3024975322,19.0
207.0,1573824.013661986,18.0
233.0,1576439.822184,19.0
214.0,1576929.2853552043,18.0
246.0,1578126.882553,19.0
256.0,1578628.702762,20.0
218.0,1578853.5769242244,19.0
231.0,1581266.6308600002,20.0
218.0,1581839.8207058948,19.0
233.0,1613872.891776,20.0
236.0,1618007.9551,21.0
238.0,1618042.8184008943,20.0
256.0,1627183.910029331,22.0
256.0,1627222.7793411987,22.0
256.0,1627240.6069804206,22.0
256.0,1627249.6318821297,22.0
