cores,time,running_job_len
240.0,16487744.95,1.0
668.0,16489263.05,2.0
468.0,16489379.05,1.0
469.0,16491375.3,2.0
468.0,16491837.3,1.0
469.0,16492028.1,2.0
468.0,16492274.1,1.0
504.0,16492499.0,2.0
468.0,16492583.0,1.0
504.0,16492587.4,2.0
505.0,16492618.0,3.0
469.0,16492670.4,2.0
507.0,16492765.9,3.0
504.0,16492797.78141889,2.0
468.0,16492860.9,1.0
504.0,16492888.3,2.0
505.0,16492920.6,3.0
469.0,16492990.3,2.0
507.0,16493034.5,3.0
504.0,16493085.448758354,2.0
575.0,16493232.55,3.0
504.0,16493256.45459904,2.0
575.0,16493363.45,3.0
504.0,16493373.17535986,2.0
505.0,16493378.75,3.0
506.0,16493407.65,4.0
544.0,16493494.35,5.0
541.0,16493606.423505425,4.0
612.0,16493776.55,5.0
683.0,16493791.0,6.0
682.0,16493887.75,5.0
611.0,16494531.12236514,4.0
540.0,16494643.304230053,3.0
2575.0,16494799.95,4.0
2576.0,16494828.85,5.0
2778.0,16494990.35,6.0
2742.0,16495059.45,5.0
2739.0,16495080.983603194,4.0
2668.0,16495103.265925037,3.0
2468.0,16495136.35,2.0
2469.0,16495501.2,3.0
2671.0,16495735.8,4.0
2668.0,16495832.50647336,3.0
2468.0,16496035.8,2.0
2668.0,16496371.6,3.0
2468.0,16496517.6,2.0
2668.0,16496635.95,3.0
2468.0,16496739.95,2.0
2469.0,16496961.5,3.0
2470.0,16496975.95,4.0
2712.0,16497241.15,5.0
2711.0,16497257.5,4.0
4939.0,16497259.0,5.0
7079.0,16497264.1,6.0
7547.0,16497286.2,7.0
7079.0,16497294.651777405,6.0
7076.0,16497313.524777291,5.0
6608.0,16497347.702126078,4.0
6368.0,16497388.2,3.0
6608.0,16497451.1,4.0
6609.0,16497453.65,5.0
6851.0,16497465.55,6.0
7319.0,16497497.85,7.0
7787.0,16497604.95,8.0
10015.0,16497664.45,9.0
10012.0,16497843.300294144,8.0
12152.0,16497931.35,9.0
12428.0,16497965.35,10.0
11960.0,16498125.375358196,9.0
11492.0,16498190.857283853,8.0
11024.0,16498227.112932429,7.0
13310.0,16498388.65,9.0
15458.0,16498405.65,10.0
17997.0,16498406.5,16.0
24048.0,16498407.35,18.0
24009.0,16498432.190714393,17.0
24048.0,16498544.485986762,20.0
21488.0,16498550.35,19.0
24048.0,16498554.4,20.0
23808.0,16498680.1,19.0
17399.0,16498760.670711612,18.0
19283.0,16498789.85,19.0
19342.0,16498794.95,21.0
19460.0,16498795.8,25.0
19636.0,16498796.65,30.0
19811.0,16498797.5,34.0
19947.0,16498798.35,37.0
20144.0,16498799.2,44.0
20417.0,16498800.05,51.0
20690.0,16498800.9,58.0
20963.0,16498801.75,65.0
21136.0,16498802.6,67.0
17236.0,16498847.643925684,66.0
17142.0,16498900.25040791,65.0
16986.0,16498904.648753531,64.0
16362.0,16498905.296052126,63.0
16284.0,16498905.364192186,62.0
15972.0,16498905.538492326,61.0
14724.0,16498906.14529553,60.0
14721.0,16499128.406565899,59.0
14839.0,16499158.75,60.0
14995.0,16499176.6,61.0
14956.0,16499605.971610105,60.0
14917.0,16499606.120078428,59.0
14878.0,16499606.446496436,58.0
14839.0,16499607.530024147,57.0
14800.0,16499609.287443424,56.0
14761.0,16499610.066289008,55.0
14722.0,16499610.851322375,54.0
14683.0,16499611.261232402,53.0
14644.0,16499612.664304089,52.0
14605.0,16499613.102639847,51.0
14566.0,16499613.666694634,50.0
14527.0,16499613.924011111,49.0
14488.0,16499614.133374251,48.0
14449.0,16499614.433469374,47.0
14410.0,16499614.84867986,46.0
14371.0,16499615.5217638,45.0
14332.0,16499615.530463291,44.0
14293.0,16499616.14759046,43.0
14254.0,16499616.179015234,42.0
14215.0,16499616.202343741,41.0
14176.0,16499616.980382685,40.0
14137.0,16499617.2201365,39.0
14098.0,16499617.228483373,38.0
14059.0,16499617.454295317,37.0
14020.0,16499618.336530888,36.0
13981.0,16499618.691192705,35.0
13942.0,16499618.897841914,34.0
13903.0,16499619.294761319,33.0
13864.0,16499619.549598439,32.0
13825.0,16499619.639423113,31.0
13786.0,16499620.104028719,30.0
13747.0,16499620.260008285,29.0
13708.0,16499620.562465906,28.0
13669.0,16499620.657338224,27.0
13630.0,16499620.688851053,26.0
13591.0,16499620.771398077,25.0
13552.0,16499621.127360122,24.0
13513.0,16499621.181669692,23.0
13474.0,16499621.218434785,22.0
13435.0,16499621.472643698,21.0
13396.0,16499621.809283024,20.0
13357.0,16499622.322661614,19.0
13318.0,16499623.054102147,18.0
13279.0,16499623.065813173,17.0
13240.0,16499623.301763898,16.0
13201.0,16499623.96921392,15.0
13162.0,16499624.75086493,14.0
13123.0,16499791.285631856,13.0
13084.0,16499794.14848213,12.0
15560.0,16499845.55,13.0
17880.0,16500024.9,14.0
17938.0,16500030.85,15.0
13258.0,16500057.807447733,14.0
13238.0,16500077.85,13.0
13160.0,16500083.923472717,12.0
13240.0,16500103.1,13.0
13476.0,16500117.55,14.0
13948.0,16500139.65,15.0
14508.0,16500155.8,16.0
15392.0,16500163.45,17.0
15236.0,16500164.767811473,16.0
17124.0,16500174.5,17.0
16812.0,16500182.364940204,16.0
16188.0,16500206.611164961,15.0
14940.0,16500212.27377368,14.0
14440.0,16500225.451686319,13.0
13160.0,16500325.5,12.0
13180.0,16500516.2,13.0
13319.0,16500521.3,15.0
15833.0,16500522.15,19.0
24048.0,16500523.0,21.0
24009.0,16500573.394087577,20.0
23931.0,16500587.142874017,19.0
23775.0,16500593.069836823,18.0
23463.0,16500594.187854528,17.0
22839.0,16500595.549948292,16.0
