cores,time,running_job_len
2.0,0.0,1.0
4.0,1546.268975,2.0
2.0,1617.23253,1.0
5.0,2531.770434,2.0
12.0,4557.200278,3.0
21.0,8173.286770999999,4.0
12.0,8204.30417,3.0
10.0,8497.339534,2.0
16.0,10097.353151000001,3.0
10.0,10104.528883,2.0
7.0,20540.870569,1.0
14.0,24490.833475,2.0
7.0,24922.560338,1.0
19.0,32108.691970999997,2.0
7.0,32118.616121999996,1.0
9.0,41858.397611,2.0
7.0,43974.250297,1.0
13.0,47967.380732,2.0
7.0,48727.13936,1.0
9.0,61835.327976,2.0
12.0,64765.905015,3.0
15.0,81885.077125,4.0
12.0,83439.145924,3.0
27.0,84939.980839,4.0
12.0,84974.771675,3.0
15.0,95517.66192,4.0
31.0,95838.474605,5.0
15.0,95846.845901,4.0
12.0,96993.351117,3.0
36.0,100351.957049,4.0
29.0,127762.428476,3.0
32.0,129215.42684300001,4.0
29.0,129796.185635,3.0
31.0,148815.087216,4.0
29.0,150006.86976700003,3.0
33.0,151907.230507,4.0
29.0,151923.02088,3.0
5.0,173925.740212,2.0
9.0,178365.247238,3.0
14.0,181012.34369,4.0
9.0,181109.970489,3.0
7.0,185816.60065,2.0
12.0,186095.052545,3.0
8.0,186135.246435,2.0
11.0,218987.375519,3.0
14.0,221162.888344,4.0
11.0,222070.39629200002,3.0
8.0,226146.934168,2.0
33.0,230305.32452199998,3.0
74.0,237560.24503899997,4.0
33.0,237771.90946682214,3.0
37.0,249816.01005799999,4.0
33.0,264075.836778,3.0
37.0,278799.545185,4.0
33.0,279093.655235,3.0
28.0,281535.88897273334,2.0
32.0,295855.854139,3.0
28.0,302008.050275,2.0
31.0,311060.113114,3.0
28.0,311096.248358,2.0
37.0,344422.08899099997,3.0
41.0,348190.32976500003,4.0
37.0,349337.71918500005,3.0
59.0,356715.464288,4.0
108.0,386598.377942,5.0
128.0,389033.640244,6.0
130.0,392892.25996399997,7.0
128.0,393406.5066308949,6.0
108.0,397823.689111,5.0
84.0,399891.774247,4.0
96.0,410910.40978499997,5.0
100.0,423895.913052,6.0
96.0,424969.4306171142,5.0
120.0,428985.51196,6.0
96.0,428990.52400399995,5.0
103.0,435202.75090200006,6.0
109.0,436647.91018199996,7.0
103.0,436733.8796703213,6.0
96.0,439624.1547540001,5.0
114.0,444467.81678900006,6.0
96.0,445125.36093900003,5.0
99.0,448485.481804,6.0
139.0,468213.172405,7.0
142.0,468325.060212,8.0
139.0,468331.05193799996,7.0
112.0,486487.188832,6.0
105.0,496787.551474,7.0
107.0,497029.682463,8.0
105.0,498068.14755999995,7.0
98.0,498698.1189378959,6.0
96.0,499360.026622,5.0
104.0,502168.10692600004,6.0
107.0,503455.497975,7.0
104.0,503463.78543,6.0
106.0,506262.21471499995,7.0
104.0,506341.2176233236,6.0
100.0,516391.09313399997,5.0
114.0,517867.57099,6.0
116.0,530265.412517,7.0
129.0,530867.344187,8.0
116.0,531089.707462,7.0
128.0,531589.582124,8.0
130.0,546788.926654,9.0
128.0,547426.3345229999,8.0
101.0,548081.7258899813,7.0
99.0,551171.6763096321,6.0
113.0,551608.9814180001,7.0
99.0,551663.5349740001,6.0
108.0,559261.260935,7.0
94.0,561956.580648,6.0
97.0,575221.572531,7.0
94.0,578148.458682,6.0
82.0,578522.0521399999,5.0
84.0,582686.01914,6.0
82.0,582717.5521279334,5.0
111.0,583480.466156,6.0
82.0,583499.469822,5.0
84.0,609585.361373,6.0
90.0,615822.044928,7.0
96.0,624381.068125,8.0
101.0,649696.776466,9.0
96.0,649755.636728,8.0
105.0,662270.6038,9.0
107.0,663519.938949,10.0
105.0,663788.7693200039,9.0
122.0,666619.230917,10.0
78.0,679564.0470134487,9.0
80.0,688543.973412,10.0
78.0,688701.278177,9.0
81.0,694373.86635,10.0
78.0,694378.514493,9.0
81.0,707601.724555,10.0
78.0,707621.72304,9.0
80.0,711025.223122,10.0
74.0,712206.875453,9.0
87.0,731316.0958680001,10.0
74.0,731361.19804,9.0
102.0,734731.016167,10.0
160.0,755630.569089,11.0
151.0,758789.1676439999,10.0
154.0,761496.647187,11.0
145.0,764706.815131,10.0
114.0,772362.956836,9.0
140.0,772803.1008649999,10.0
118.0,772817.997929,9.0
135.0,784322.663448,10.0
118.0,784449.9329048011,9.0
111.0,787534.2038905286,8.0
127.0,799753.805341,9.0
158.0,801528.272292,10.0
126.0,807613.2448456422,9.0
157.0,809134.798499,10.0
127.0,818369.7046035476,9.0
140.0,847350.517598,10.0
169.0,854328.219573,11.0
175.0,856685.2948220001,12.0
146.0,867194.275357,11.0
168.0,883731.988164,12.0
172.0,888851.32972,13.0
159.0,890955.0372895504,12.0
163.0,894496.695292,13.0
166.0,902564.508384,14.0
163.0,903064.596732,13.0
166.0,925198.407553,14.0
183.0,933322.495019,15.0
179.0,933573.584453,14.0
182.0,934334.3014079999,15.0
188.0,934457.1312909999,16.0
193.0,934513.768815,17.0
187.0,934582.293887,16.0
197.0,938052.600808,17.0
190.0,944121.8626676915,16.0
201.0,949324.356568,17.0
190.0,949330.1134540001,16.0
218.0,952577.33371,17.0
190.0,952592.1932005822,16.0
211.0,961523.781542,17.0
190.0,961934.973698,16.0
193.0,965083.8521489999,17.0
222.0,965889.317573,18.0
193.0,965939.106349,17.0
191.0,967769.463467,16.0
196.0,979239.193437,17.0
191.0,979245.7873150001,16.0
188.0,983258.1831628532,15.0
190.0,987907.418525,16.0
188.0,987975.3320327032,15.0
205.0,1005802.799475,16.0
214.0,1008941.004636,17.0
205.0,1012456.2024551838,16.0
221.0,1013377.219485,17.0
205.0,1013559.6323310001,16.0
217.0,1015430.394258,17.0
220.0,1027478.531266,18.0
217.0,1027483.007888,17.0
219.0,1040121.739665,18.0
217.0,1040136.855304,17.0
219.0,1040228.541375,18.0
217.0,1042852.4329070001,17.0
219.0,1053702.583427,18.0
217.0,1058535.267133,17.0
222.0,1065706.41027,18.0
225.0,1066416.903647,19.0
220.0,1068641.568193,18.0
214.0,1072127.624223,17.0
230.0,1073252.955941,18.0
244.0,1077489.9927790002,19.0
230.0,1077495.5172420002,18.0
250.0,1078023.393368,19.0
252.0,1085529.219559,20.0
250.0,1085577.566397,19.0
235.0,1086216.130022,18.0
242.0,1097734.531175,19.0
256.0,1103748.7131767957,21.0
235.0,1127122.7122137956,20.0
256.0,1127124.6802094928,24.0
256.0,1127176.4285095918,24.0
256.0,1127227.610927872,24.0
237.0,1127240.2287600888,23.0
230.0,1132121.4857957957,22.0
256.0,1140019.216515613,22.0
226.0,1140162.976965613,21.0
256.0,1142181.106231,22.0
253.0,1142207.237884,21.0
256.0,1143850.292751,22.0
253.0,1144065.8668840001,21.0
249.0,1144984.500793,20.0
256.0,1175104.128423,21.0
251.0,1175604.916439,20.0
256.0,1176044.656586,21.0
256.0,1187433.39586593,21.0
256.0,1210416.93684,21.0
243.0,1210708.748627,20.0
256.0,1220965.047639,20.0
253.0,1227860.281701,19.0
256.0,1227861.1453107644,22.0
249.0,1228063.8891036017,21.0
245.0,1228067.9386567643,20.0
256.0,1229126.9019,21.0
245.0,1229348.419006,20.0
256.0,1231654.0809219999,21.0
253.0,1231882.714497,20.0
256.0,1233224.1301280002,21.0
254.0,1240487.00252,20.0
252.0,1240615.560366,19.0
242.0,1263710.403461278,18.0
256.0,1263712.3711967352,22.0
249.0,1263716.028064278,21.0
225.0,1263760.7103174664,20.0
256.0,1265451.330593,21.0
256.0,1265798.7626136877,21.0
249.0,1268174.7303985076,20.0
256.0,1280237.5500049999,21.0
254.0,1281257.103647,20.0
256.0,1295726.9965001196,22.0
254.0,1295773.575246,21.0
241.0,1335450.4157,20.0
256.0,1335450.9244453881,22.0
245.0,1337768.590122,21.0
256.0,1340003.611469,22.0
247.0,1340789.3134387352,21.0
256.0,1343692.2380930001,22.0
256.0,1344974.1132438001,22.0
251.0,1345715.355465,21.0
256.0,1345825.712315,21.0
256.0,1347160.8089544112,21.0
247.0,1347589.2791523882,20.0
233.0,1349751.8533288406,19.0
256.0,1353489.2878780002,20.0
256.0,1354270.9135925355,20.0
237.0,1353772.362295,19.0
256.0,1365504.390139,20.0
233.0,1386160.540956,19.0
256.0,1386162.738588573,22.0
256.0,1386194.0413321229,22.0
246.0,1386198.9974690084,21.0
256.0,1386235.0128645601,21.0
225.0,1388906.8698295602,20.0
202.0,1392364.424191,19.0
256.0,1396316.622383,20.0
237.0,1403223.436922,19.0
256.0,1412127.776883,20.0
244.0,1448458.7619949998,19.0
256.0,1448467.8290704351,25.0
253.0,1448479.7708069999,24.0
234.0,1448779.0476353182,23.0
229.0,1449302.781455,22.0
256.0,1452390.524744,23.0
254.0,1458232.8101904772,22.0
256.0,1459455.105892065,22.0
253.0,1459496.466062065,21.0
256.0,1462734.0428431649,21.0
256.0,1474933.1695241882,21.0
256.0,1497686.744575435,21.0
253.0,1497736.9464294352,20.0
256.0,1515218.0932574174,20.0
250.0,1521359.6191561648,19.0
256.0,1530429.9712345593,23.0
256.0,1534042.8841395662,23.0
248.0,1528773.5294227651,22.0
240.0,1530485.0303985593,21.0
256.0,1533847.241511189,21.0
238.0,1533880.896668189,20.0
236.0,1536024.563521,19.0
256.0,1550931.241911,20.0
256.0,1551995.2344630002,20.0
256.0,1552436.6287425398,20.0
252.0,1552962.0994103753,19.0
221.0,1554816.8533657473,18.0
195.0,1557183.7703428082,17.0
256.0,1576439.822184,18.0
256.0,1576692.5529465398,18.0
231.0,1577027.9758652095,17.0
256.0,1578629.4058452167,19.0
224.0,1579393.7597562168,18.0
256.0,1581266.6308600002,19.0
243.0,1581989.067952,18.0
256.0,1618008.6599567265,20.0
256.0,1618024.8164380358,20.0
252.0,1618053.0268180293,19.0
256.0,1627184.861776177,21.0
253.0,1627281.0833090001,20.0
245.0,1633216.394409,19.0
256.0,1636024.724312,20.0
246.0,1667281.3266027542,19.0
256.0,1675606.8111899998,19.0
240.0,1681359.8874179998,18.0
256.0,1682414.203909,19.0
244.0,1682419.924444,18.0
256.0,1690263.9186860002,19.0
256.0,1692140.835876,19.0
256.0,1692187.0725528002,19.0
253.0,1692250.9223744413,18.0
256.0,1706818.4758784776,19.0
231.0,1708611.2182454776,18.0
222.0,1708740.0402668675,17.0
255.0,1714293.012362,18.0
256.0,1783036.9561410528,18.0
256.0,1789687.1453240002,18.0
256.0,1824115.2342727701,26.0
256.0,1824107.6530022873,26.0
256.0,1824110.7194045058,26.0
244.0,1824119.5009375059,25.0
235.0,1824191.0860937035,24.0
231.0,1824478.5005687717,23.0
